NombreDepto,mpio_cdpmp,NombreEntidad,Población,Periodo
Córdoba,23670,San Andrés Sotavento,39530.0,2012
Córdoba,23672,San Antero,29682.0,2012
Córdoba,23675,San Bernardo del Viento,33687.0,2012
Córdoba,23678,San Carlos,26002.0,2012
Córdoba,23682,San José de Uré,,2012
Córdoba,23686,San Pelayo,42225.0,2012
Córdoba,23807,Tierralta,92948.0,2012
Córdoba,23815,Tuchín,35219.0,2012
Córdoba,23855,Valencia,40160.0,2012
Cundinamarca,25000,Cundinamarca,9944895.0,2012
Cundinamarca,25001,Agua de Dios,11258.0,2012
Cundinamarca,25019,Albán,5955.0,2012
Cundinamarca,25035,Anapoima,12731.0,2012
Cundinamarca,25040,Anolaima,12599.0,2012
Cundinamarca,25053,Arbeláez,12155.0,2012
Cundinamarca,25086,Beltrán,2110.0,2012
Cundinamarca,25095,Bituima,2559.0,2012
Cundinamarca,25099,Bojacá,10708.0,2012
Cundinamarca,25120,Cabrera,4560.0,2012
Cundinamarca,25123,Cachipay,9892.0,2012
Cundinamarca,25126,Cajicá,53397.0,2012
Cundinamarca,25148,Caparrapí,16636.0,2012
Cundinamarca,25151,Caqueza,16827.0,2012
Cundinamarca,25154,Carmen de Carupa,8885.0,2012
Cundinamarca,25168,Chaguaní,3999.0,2012
Cundinamarca,25175,Chía,117786.0,2012
Cundinamarca,25178,Chipaque,8399.0,2012
Cundinamarca,25181,Choachí,10891.0,2012
Cundinamarca,25183,Chocontá,23400.0,2012
Cundinamarca,25200,Cogua,21098.0,2012
Cundinamarca,25214,Cota,23385.0,2012
Cundinamarca,25224,Cucunubá,7351.0,2012
Cundinamarca,25245,El Colegio,21460.0,2012
Cundinamarca,25258,El Peñón,4846.0,2012
Cundinamarca,25260,El Rosal,16122.0,2012
Cundinamarca,25269,Facatativá,124779.0,2012
Cundinamarca,25279,Fomeque,12179.0,2012
Cundinamarca,25281,Fosca,7227.0,2012
Cundinamarca,25286,Funza,71172.0,2012
Cundinamarca,25288,Fúquene,5473.0,2012
Cundinamarca,25290,Fusagasugá,126691.0,2012
Cundinamarca,25293,Gachala,5765.0,2012
Cundinamarca,25295,Gachancipá,13312.0,2012
Cundinamarca,25297,Gachetá,10875.0,2012
Cundinamarca,25299,Gama,3952.0,2012
Cundinamarca,25307,Girardot,103175.0,2012
Cundinamarca,25312,Granada,8115.0,2012
Cundinamarca,25317,Guachetá,11424.0,2012
Cundinamarca,25320,Guaduas,36334.0,2012
Cundinamarca,25322,Guasca,14044.0,2012
Cundinamarca,25324,Guataquí,2579.0,2012
Cundinamarca,25326,Guatavita,6835.0,2012
